Getting services from marketplace in org gerhard@lazu.co.uk / space dev as gerhard@lazu.co.uk...
OK

service                       plans                                                                                                                                                                                                    description   
IoT-RealTime-Insight          Free, Bronze*, Silver*                                                                                                                                                                                   Leverage your IoT Foundation with real-time analytics of your IoT data. Connect your devices and map to your assets, use customizable dashboards, and trigger alerts from your IoT sensor data.   
MAS                           Standard                                                                                                                                                                                                 Manage application access and implement a basic application security framework for the Mobile Cloud services with IBM Mobile Application Security (MAS) for Bluemix.   
Mobile Analyzer for iOS       free                                                                                                                                                                                                     A robust, practical security vulnerability assessment for your iOS applications.   
Mobile Quality Assurance      MobileQualityAssurance*, MobileQualityAssurancePremium*                                                                                                                                                  Capture tester and live user experience to continuously build and deliver high quality mobile apps.   
Mobile Quality Extensions     MQE Free Plan                                                                                                                                                                                            This service provides some experimentation services for Mobile Application   
MobileData                    Shared*                                                                                                                                                                                                  Enhance your mobile apps through simple to use SDKs to save shared data in a scalable, managed database as a service. Powered by Cloudant.   
MongoDB by Compose            user-provided                                                                                                                                                                                            MongoDB with its powerful indexing and querying, aggregation and wide driver support, has become the go-to JSON data store for many startups and enterprises. Compose makes MongoDB even better by offering an easy, auto-scaling deployment system which delivers high availability and redundancy, automated and on-demand no-stop backups, monitoring tools, integration into alert systems, performance analysis views and much more all in a clean, simple user interface.   
MonitoringAndAnalytics        Free, diagnostics*                                                                                                                                                                                       Gain the visibility and control you need over your application. Determine the response time your users see, understand the performance and availability of the application components, leverage analytics to keep your application up and performing well, and get automatically notified if application problems occur.   
PostgreSQL by Compose         user-provided                                                                                                                                                                                            PostgreSQL is a powerful, open-source, highly-customizable, object-relational database. It's a feature-rich enterprise database with JSON support, giving you the best of both the SQL and NoSQL worlds.   
Push                          Standard*                                                                                                                                                                                                Send relevant content to the right people at the right place and time with IBM Push for Bluemix.   
Redis by Compose              user-provided                                                                                                                                                                                            Redis is an open-source, blazingly fast, key/value low maintenance store. Compose's platform gives you a configuration pre-tuned for high availability and locked down with additional security features.   
Rocket Mainframe Data         User Provided-Beta                                                                                                                                                                                       Rocket Mainframe Data Service on Bluemix provides an easy way to leverage your mainframe data for new cloud services and mobile apps. Built on our proven data virtualization technology, this new mainframe data provides access to a breadth of data sources--without worrying about the underlying data format. Developers have the flexibility to use either MongoDB or SQL (JDBC) to access data on z Systems. With Rocket Mainframe Data Service on Bluemix, developers working in IBM Bluemix now have an agile method for incorporating system of record data on z Systems into cloud or mobile applications.   
SecureGateway                 securegatewayplan*                                                                                                                                                                                       IBM Secure Gateway for Bluemix enables users to integrate cloud services with enterprise systems on premises.   
SessionCache                  starter*, standard*, premium*                                                                                                                                                                            Improve application resiliency by storing session state information across many HTTP requests. Enable persistent HTTP sessions for your application and seamless session recovery in event of an application failure.   
Static Analyzer               free                                                                                                                                                                                                     Use static analysis to find and fix security vulnerabilities early in the development of your Java applications.   
Track & Plan                  Standard*, Advanced*                                                                                                                                                                                     Use IBM DevOps Services to create stories, tasks, and defects to describe and track project work, and use agile planning tools for the product backlog, releases, and sprints.   
Twilio                        user-provided                                                                                                                                                                                            Build apps that communicate. Integrate voice, messaging and VoIP into your web and mobile apps.   
Workflow                      standard*                                                                                                                                                                                                Workflow for Bluemix makes it easy for you to create workflows that orchestrate and coordinate the REST-based services that you use in your apps.   
WorkloadScheduler             Standard*                                                                                                                                                                                                Automate your tasks to run one time or on recurring schedules. Far beyond Cron, exploit job scheduling within and outside Bluemix.   
XPagesData                    xpages-data-free                                                                                                                                                                                         Create an IBM Notes .NSF database to store your XPages Domino data.   
alchemy_api                   Free, Standard*                                                                                                                                                                                          An AlchemyAPI service that analyzes your unstructured text and image content   
apersona-amfa                 free                                                                                                                                                                                                     Frictionless Adaptive Multi-Factor Authentication   
apiHarmony                    API Harmony free plan                                                                                                                                                                                    IBM API Harmony for Bluemix supports developers in identifying and selecting APIs.   
blazemeter                    free-tier                                                                                                                                                                                                Performance Testing Platform   
businessrules                 standard*                                                                                                                                                                                                Enables developers to spend less time recoding and testing when the business policy changes. The Business Rules service minimizes your code changes by keeping business logic separate from application logic.   
cleardb                       spark                                                                                                                                                                                                    Highly available MySQL for your Apps.   
cloudamqp                     bunny*, lemur, panda*, rabbit*, tiger*, ape*, hippo*                                                                                                                                                     Managed HA RabbitMQ servers in the cloud   
cloudantNoSQLDB               Shared*                                                                                                                                                                                                  Cloudant NoSQL DB provides access to a fully managed NoSQL JSON data layer that's always on. This service is compatible with CouchDB, and accessible through a simple to use HTTP interface for mobile and web application models   
concept_expansion             concept_expansion_free_plan                                                                                                                                                                              Maps euphemisms or colloquial terms to more commonly understood phrases   
concept_insights              standard*                                                                                                                                                                                                Explore the concepts behind your input, identifying associations beyond traditional text matching.   
dashDB                        Entry*, Enterprise*, Enterprise256.12*, Enterprise256.4*, EnterpriseMPP.4*                                                                                                                               Store relational data, including special types such as geospatial data, and analyze it with SQL, R, and built-in predictive and geospatial analytics functions.   
db2oncloud                    db2oncloud_small*, db2oncloud_medium*, db2oncloud_large*, db2oncloud_x-large*, db2oncloud_small_adv*, db2oncloud_medium_adv*, db2oncloud_large_adv*, db2oncloud_x-large_adv*, db2oncloud_xx-large_adv*   IBM DB2 on Cloud Offers customers the rich features of an on-premise DB2 deployment without the cost, complexity, and risk of managing their own infrastructure.   
dialog                        standard*                                                                                                                                                                                                Enable your application to use natural language to converse with users   
document_conversion           experimental                                                                                                                                                                                             Converts HTML documents into sections that can be used to provide content for other Watson services.   
dreamface                     free, basic*, professional*, enterprise*                                                                                                                                                                 Cloud Application Development Platform   
elephantsql                   panda*, hippo*, elephant*, turtle, pigeon*                                                                                                                                                               PostgreSQL as a Service   
erservice                     free                                                                                                                                                                                                     IBM Embeddable Reporting for Bluemix provides a mechanism to connect to relational data sources, create reports/dashboard, and embed this service within your application.   
flowthings                    free, start-up*, pro*, enterprise*                                                                                                                                                                       agile intelligence for IoT   
idemixservice                 idemixservicefreeplan                                                                                                                                                                                    IBM Identity Mixer Bluemix Service   
imfpush                       Basic*                                                                                                                                                                                                   Engage Android and iOS  mobile users by sending relevant content including interactive notifications   
iotf-service                  iotf-service-free, iotf-service-bronze*, iotf-service-silver*, iotf-service-gold*                                                                                                                        This service is the hub of all things IBM IoT, it is where you can set up and manage your connected devices so that your apps can access their live and historical data.   
jkoolapi                      junkie*, free, nerd*, addict*                                                                                                                                                                            jKool provides real-time visualization &amp; analytics as a service for your applications.   
kinetise                      free                                                                                                                                                                                                     Mobile applications creator. Multiplatform. Native.   
language_translation          standard*                                                                                                                                                                                                Translate text from one language to another for specific domains.   
loadimpact                    lifree                                                                                                                                                                                                   Performance and load testing for DevOps   
messagehub                    beta*                                                                                                                                                                                                    IBM Message Hub is a scalable, distributed, high throughput message bus to unite your on-premise and off-premise cloud technologies.   
mongodb                       100                                                                                                                                                                                                      MongoDB NoSQL database   
mqlight                       standard*                                                                                                                                                                                                Develop responsive, scalable applications with a fully-managed messaging provider in the cloud. Quickly integrate with application frameworks through easy-to-use APIs.   
mysql                         100, 200, 300                                                                                                                                                                                            MySQL database   
namara-catalog                free                                                                                                                                                                                                     Open Data. Clean and simple.   
natural_language_classifier   standard*                                                                                                                                                                                                Natural Language Classifier performs natural language classification on question texts. A user would be able to train their data and the predict the appropriate class for a input question.   
personality_insights          standard*                                                                                                                                                                                                The Watson Personality Insights derives insights from transactional and social media data to identify psychological traits   
pm-20                         Free, Paid*                                                                                                                                                                                              Predictive Analytics   
postgresql                    100                                                                                                                                                                                                      PostgreSQL database   
presenceInsights              Free, Basic*                                                                                                                                                                                             This service performs real-time and historical analytics on mobile device movements in a physical location. These insights can fuel contextually relevant engagement strategies that optimize the user experience and increase in-app conversions.   
pubnub-sandbox                free                                                                                                                                                                                                     Data Streaming and Realtime Communication   
question_and_answer           question_and_answer_free_plan                                                                                                                                                                            Direct responses to users inquiries fueled by primary document sources   
rabbitmq                      100                                                                                                                                                                                                      RabbitMQ message queue   
redis                         100                                                                                                                                                                                                      Redis key-value store   
relationship_extraction       relationship_extraction_free_plan                                                                                                                                                                        Intelligently finds relationships between sentences components (nouns, verbs, subjects, objects, etc.)   
retrieve_and_rank             standard*                                                                                                                                                                                                Add machine learning enhanced search capabilities to your application   
sendgrid                      free, bronze*, silver*, gold*, platinum*                                                                                                                                                                 Email Delivery. Simplified.   
simplicite                    free, small*                                                                                                                                                                                             Versatile Cloud Platform for Enterprise Applications   
speech_to_text                standard*                                                                                                                                                                                                Low-latency, streaming transcription   
sqldb                         sqldb_free, sqldb_premium*                                                                                                                                                                               SQL Database adds an on-demand relational database to your application. Powered by DB2, it provides a managed database service to handle demanding web and transactional workloads.   
statica                       starter, spike*, micro*, medium*, large*, enterprise*, premium*                                                                                                                                          Enterprise Static IP Adresses   
streaming-analytics           Standard*                                                                                                                                                                                                Ingest, analyze, monitor, and correlate data as it arrives from real-time data sources. View information and events as they unfold.   
text_to_speech                standard*                                                                                                                                                                                                Synthesizes natural-sounding speech from text.   
timeseriesdatabase            small*                                                                                                                                                                                                   Time Series Database (powered by Informix) is purpose-built for fast and efficient storage and analysis of time series data.   
tone_analyzer                 experimental                                                                                                                                                                                             It helps people detect, understand and revise the language tones of emotions, social propensities and writing styles from their writings.   
tradeoff_analytics            standard*                                                                                                                                                                                                Helps make better choices under multiple conflicting goals. Combines smart visualization and recommendations for tradeoff exploration   
twitterinsights               Free, Entry*                                                                                                                                                                                             Use IBM Insights for Twitter to incorporate Twitter search results into your Bluemix applications.   
ustream                       basic                                                                                                                                                                                                    Video streaming, storage and publishing.   
visual_insights               experimental                                                                                                                                                                                             Visual Insights enhances the customer view by analyzing photos and video to extract consumer insights related to interests, activities, hobbies, life events, and products.   
visual_recognition            free                                                                                                                                                                                                     Analyzes the visual content of images and videos to understand their content without requiring a textual description   
weatherinsights               Free, Base*, Premium*                                                                                                                                                                                    Use Insights for Weather to incorporate weather data into your Bluemix applications.   

* These service plans have an associated cost. Creating a service instance will incur this cost.

TIP:  Use 'cf marketplace -s SERVICE' to view descriptions of individual plans of a given service.
